derived_id,source_id,engine_id,metric,value,unit,uncertainty,classification,transferability,derivation,source_locator,notes
kruggel1971_piston_sensor_count:reported,kruggel1971_710578,kruggel_80mm,piston_thermocouple_count,36.0,count,,literature_reported,method_only,reported value copied from literature_measurements.csv; no transformation,summary_lines_34_35,"Count is instrument topology, not a temperature observation."
kruggel1971_cylinder_sensor_count:reported,kruggel1971_710578,kruggel_80mm,cylinder_thermocouple_count,12.0,count,,literature_reported,method_only,reported value copied from literature_measurements.csv; no transformation,summary_lines_34_35,"Count is instrument topology, not a temperature observation."
frank1991_piston_span:reported,frank1991_910558,frank_disc_single_cylinder,piston_temperature_control_span,50.0,K,,literature_reported,qualitative_sensitivity_only,reported value copied from literature_measurements.csv; no transformation,abstract_text,Primary abstract reports a controlled 50 K piston-temperature variation; no absolute local piston/liner pair is given.
najafabadi2014_crown_reduction:reported,najafabadi2014_pcj,pcj_test_rig,crown_temperature_reduction_with_PCJ,70.0,K,,literature_reported,qualitative_sensitivity_only,reported value copied from literature_measurements.csv; no transformation,abstract_and_figures,"Reported approximate reduction; exact baseline, geometry and operating point are not recoverable from the public abstract."
najafabadi2014_internal_gradient:reported,najafabadi2014_pcj,pcj_test_rig,internal_piston_temperature_gradient,50.0,K,,literature_reported,qualitative_sensitivity_only,reported value copied from literature_measurements.csv; no transformation,abstract_and_figures,Reported approximate gradient; not an axial piston/liner clearance pair.
shang2020_head_temperature_low:reported,shang2020_ringless,shang_0p99cc_ringless,cylinder_head_temperature_low,160.0,degC,,literature_reported,near_scale_thermal_magnitude_only,reported value copied from literature_measurements.csv; no transformation,engine_description_and_temperature_results,Reported low end of the approximately 160-200 C cylinder-head temperature range. Head temperature is not piston or liner temperature.
shang2020_head_temperature_high:reported,shang2020_ringless,shang_0p99cc_ringless,cylinder_head_temperature_high,200.0,degC,,literature_reported,near_scale_thermal_magnitude_only,reported value copied from literature_measurements.csv; no transformation,engine_description_and_temperature_results,Reported high end of the approximately 160-200 C cylinder-head temperature range. Head temperature is not piston or liner temperature.
shang2020_max_output_power:reported,shang2020_ringless,shang_0p99cc_ringless,max_output_power,70.0,W,,literature_reported,near_scale_engine_context,reported value copied from literature_measurements.csv; no transformation,engine_description_and_performance_results,"Approximately 70 W maximum output; retained as scale/context evidence, not a thermal or leakage calibration."
shang2020_friction_power_lower_bound:reported,shang2020_ringless,shang_0p99cc_ringless,max_friction_power_lower_bound,40.0,W,lower_bound,literature_reported,near_scale_engine_context,reported value copied from literature_measurements.csv; no transformation,engine_description_and_performance_results,"Maximum friction power exceeds 40 W; value is a lower bound, not an exact measurement."
shang2020_peak_speed:reported,shang2020_ringless,shang_0p99cc_ringless,peak_speed,18000.0,rpm,,literature_reported,near_scale_engine_context,reported value copied from literature_measurements.csv; no transformation,engine_description_and_performance_results,Highest operating-speed region reported with the power/friction results.
shang2024_block_temperature_70:reported,shang2024_hcci,shang_0p547cc_hcci,cylinder_block_temperature,70.0,degC,,literature_reported,wall_state_only,reported value copied from literature_measurements.csv; no transformation,section_3_2_figures_6_8,Controlled cylinder-block temperature; not a local piston/liner temperature pair.
shang2024_block_temperature_90:reported,shang2024_hcci,shang_0p547cc_hcci,cylinder_block_temperature,90.0,degC,,literature_reported,wall_state_only,reported value copied from literature_measurements.csv; no transformation,section_3_2_figures_6_8,Controlled cylinder-block temperature; not a local piston/liner temperature pair.
shang2024_block_temperature_110:reported,shang2024_hcci,shang_0p547cc_hcci,cylinder_block_temperature,110.0,degC,,literature_reported,wall_state_only,reported value copied from literature_measurements.csv; no transformation,section_3_2_figures_6_8,Controlled cylinder-block temperature; not a local piston/liner temperature pair.
shang2024_block_temperature_130:reported,shang2024_hcci,shang_0p547cc_hcci,cylinder_block_temperature,130.0,degC,,literature_reported,wall_state_only,reported value copied from literature_measurements.csv; no transformation,section_3_2_figures_6_8,Controlled cylinder-block temperature; not a local piston/liner temperature pair.
tada1964_ring_heat_fraction:reported,tada1964_ring_heat,tada_farm_ringed,heat_flow_through_rings_and_ring_lands,81.0,percent,,literature_reported,ringed_architecture_only,reported value copied from literature_measurements.csv; no transformation,abstract_item_1,"At 3500 rpm/full load, ring/ring-land path reached as much as 81% of piston heat flow to the cylinder wall. Do not apply to ringless ABC."
tada1964_piston_back_htc_low:reported,tada1964_ring_heat,tada_farm_ringed,piston_back_heat_transfer_coefficient,40.7,W_per_m2_K,converted_from_35_kcal_per_m2_h_C,literature_reported,ringed_architecture_only,reported value copied from literature_measurements.csv; no transformation,abstract_item_2,Lower endpoint converted from 35 kcal/(m2 h C) using 1 kcal/(m2 h C)=1.163 W/(m2 K); original unit and range are preserved in source notes.
tada1964_piston_back_htc_high:reported,tada1964_ring_heat,tada_farm_ringed,piston_back_heat_transfer_coefficient,69.8,W_per_m2_K,converted_from_60_kcal_per_m2_h_C,literature_reported,ringed_architecture_only,reported value copied from literature_measurements.csv; no transformation,abstract_item_2,Upper endpoint converted from 60 kcal/(m2 h C) using 1 kcal/(m2 h C)=1.163 W/(m2 K); original unit and range are preserved in source notes.
furuhama1961_cd_low:reported,furuhama1961_ring_leakage,furuhama_ring_apparatus,ring_leakage_discharge_coefficient,0.8,1,,literature_reported,ringed_orifice_only,reported value copied from literature_measurements.csv; no transformation,abstract_item_a,Lower endpoint of the reported 0.8-0.9 discharge-coefficient range.
furuhama1961_cd_high:reported,furuhama1961_ring_leakage,furuhama_ring_apparatus,ring_leakage_discharge_coefficient,0.9,1,,literature_reported,ringed_orifice_only,reported value copied from literature_measurements.csv; no transformation,abstract_item_a,Upper endpoint of the reported 0.8-0.9 discharge-coefficient range.
furuhama1961_cd_mean:reported,furuhama1961_ring_leakage,furuhama_ring_apparatus,ring_leakage_discharge_coefficient_mean,0.86,1,,literature_reported,ringed_orifice_only,reported value copied from literature_measurements.csv; no transformation,abstract_item_a,Mean of the reported near-working-engine discharge-coefficient range.
